date_gmt,time_period,latitude,longitude
28/10/2011,day,-34.216,89.292
28/10/2011,evening,-34.298,89.608
29/10/2011,day,-33.848,90.67
29/10/2011,evening,-35.278,93.112
30/10/2011,day,-35.65,93.778
30/10/2011,evening,-37.054,95.548
31/10/2011,day,-36.628,97.444
31/10/2011,evening,-36.85,99.862
1/11/2011,day,-37.768,101.032
1/11/2011,evening,-37.592,102.402
2/11/2011,day,-37.96,103.002
2/11/2011,evening,-38.788,104.47
3/11/2011,day,-38.532,105.698
3/11/2011,evening,-38.762,107.348
4/11/2011,day,-38.562,108.698
4/11/2011,evening,-38.602,110.222
5/11/2011,day,-38.752,111.104
5/11/2011,evening,-40.412,113.776
6/11/2011,day,-40.874,115.182
6/11/2011,evening,-41.644,118.062
7/11/2011,day,-44.65333,125.6883333
7/11/2011,evening,-42.3975,105.8325
8/11/2011,day,-47.10833,125.1216667
8/11/2011,evening,-43.995,109.1925
9/11/2011,day,-50.935,125.97
9/11/2011,evening,-46.7075,109.175
10/11/2011,day,-52.42333,127.535
10/11/2011,evening,-49.69,111.2325
11/11/2011,day,-55.44167,124.89
11/11/2011,evening,-54.175,107.385
12/11/2011,day,-57.375,124.9183333
12/11/2011,evening,-56.08,106.3525
13/11/2011,day,-59.18333,125.4316667
13/11/2011,evening,-56.44,100.915
14/11/2011,day,-58.84833,122.1316667
14/11/2011,evening,-56.595,100.33
15/11/2011,day,-59.19333,120.735
15/11/2011,evening,-55.9525,96.09
16/11/2011,day,-57.568,108.07
16/11/2011,evening,-57.782,107.92
17/11/2011,day,-58.018,107.724
17/11/2011,evening,-58.022,107.016
18/11/2011,day,-58.236,102.916
18/11/2011,evening,-59.35,104.618
19/11/2011,day,-59.534,104.342
19/11/2011,evening,-59.574,103.146
20/11/2011,day,-59.778,103.024
20/11/2011,evening,-60.622,104.978
21/11/2011,day,-60.358,104.558
21/11/2011,evening,-60.64,105.538
22/11/2011,day,-60.732,105.422
22/11/2011,evening,-59.976,104.428
23/11/2011,day,-59.436,103.164
23/11/2011,evening,-59.04,104.62
24/11/2011,day,-59.162,104.606
24/11/2011,evening,-59.584,104.344
25/11/2011,day,-59.362,104.73
25/11/2011,evening,-59.182,104.616
26/11/2011,day,-59.368,103.506
26/11/2011,evening,-60.58,106.644
27/11/2011,day,-59.6175,108.14
27/11/2011,evening,-60.015,109.43
28/11/2011,day,-61.015,110.955
28/11/2011,evening,-62.462,106.132
29/11/2011,day,-62.526,104.376
